id,Category,Question,Difficulty,Status
1,Python,"What is the difference between list, tuple, set and dictionary?",Easy,Not Practiced
2,Python,Explain mutable vs immutable objects.,Easy,Not Practiced
3,Python,What are decorators?,Medium,Not Practiced
4,Python,Explain shallow vs deep copy.,Medium,Not Practiced
5,Python,What are *args and **kwargs?,Hard,Not Practiced
6,Python,What is a generator?,Easy,Not Practiced
7,Python,Explain list comprehensions.,Easy,Not Practiced
8,Python,Difference between == and is?,Medium,Not Practiced
9,Python,How does exception handling work?,Medium,Not Practiced
10,Python,How does Python garbage collection work?,Hard,Not Practiced
11,Python,"What is the difference between list, tuple, set and dictionary — Explain it with a practical AI/ML example.",Easy,Not Practiced
12,Python,Explain mutable vs immutable objects. — What are common interview mistakes about this topic?,Easy,Not Practiced
13,Python,What are decorators — How would you implement it in a real project?,Medium,Not Practiced
14,Python,Explain shallow vs deep copy. — What are its advantages and limitations?,Medium,Not Practiced
15,Python,What are *args and **kwargs — How would you debug a problem related to it?,Hard,Not Practiced
16,Python,What is a generator — Compare it with the closest alternative.,Easy,Not Practiced
17,Python,Explain list comprehensions. — When would you choose it in production?,Easy,Not Practiced
18,Python,Difference between == and is — What trade-offs should an engineer consider?,Medium,Not Practiced
19,Python,How does exception handling work — How would you explain it to a non-technical stakeholder?,Medium,Not Practiced
20,Python,How does Python garbage collection work — What follow-up question might an interviewer ask?,Hard,Not Practiced
21,Python,"What is the difference between list, tuple, set and dictionary — Explain it with a practical AI/ML example. (Variant 3)",Easy,Not Practiced
22,Python,Explain mutable vs immutable objects. — What are its advantages and limitations? (Variant 3),Easy,Not Practiced
23,Python,What are decorators — When would you choose it in production? (Variant 3),Medium,Not Practiced
24,Python,Explain shallow vs deep copy. — What follow-up question might an interviewer ask? (Variant 3),Medium,Not Practiced
25,Python,What are *args and **kwargs — How would you implement it in a real project? (Variant 3),Hard,Not Practiced
26,Python,What is a generator — Compare it with the closest alternative. (Variant 3),Easy,Not Practiced
27,Python,Explain list comprehensions. — How would you explain it to a non-technical stakeholder? (Variant 3),Easy,Not Practiced
28,Python,Difference between == and is — What are common interview mistakes about this topic? (Variant 3),Medium,Not Practiced
29,Python,How does exception handling work — How would you debug a problem related to it? (Variant 3),Medium,Not Practiced
30,Python,How does Python garbage collection work — What trade-offs should an engineer consider? (Variant 3),Hard,Not Practiced
31,Python,"What is the difference between list, tuple, set and dictionary — Explain it with a practical AI/ML example. (Variant 4)",Easy,Not Practiced
32,Python,Explain mutable vs immutable objects. — What are its advantages and limitations? (Variant 4),Easy,Not Practiced
33,Python,What are decorators — When would you choose it in production? (Variant 4),Medium,Not Practiced
34,Python,Explain shallow vs deep copy. — What follow-up question might an interviewer ask? (Variant 4),Medium,Not Practiced
35,Python,What are *args and **kwargs — How would you implement it in a real project? (Variant 4),Hard,Not Practiced
